Well,Ni (uM),species,replicate
A1,0,25,1
A2,0,27,1
A3,0,32,1
A4,0,35,1
A5,0,40,1
A6,0,41,1
A7,0,42,1
A8,0,49,1
A9,0,25,2
A10,0,27,2
A11,0,32,2
A12,0,35,2
A13,0,40,2
A14,0,41,2
A15,0,42,2
A16,0,49,2
A17,0,25,3
A18,0,27,3
A19,0,32,3
A20,0,35,3
A21,0,40,3
A22,0,41,3
A23,0,42,3
A24,0,49,3
B1,1,25,1
B2,1,27,1
B3,1,32,1
B4,1,35,1
B5,1,40,1
B6,1,41,1
B7,1,42,1
B8,1,49,1
B9,1,25,2
B10,1,27,2
B11,1,32,2
B12,1,35,2
B13,1,40,2
B14,1,41,2
B15,1,42,2
B16,1,49,2
B17,1,25,3
B18,1,27,3
B19,1,32,3
B20,1,35,3
B21,1,40,3
B22,1,41,3
B23,1,42,3
B24,1,49,3
C1,10,25,1
C2,10,27,1
C3,10,32,1
C4,10,35,1
C5,10,40,1
C6,10,41,1
C7,10,42,1
C8,10,49,1
C9,10,25,2
C10,10,27,2
C11,10,32,2
C12,10,35,2
C13,10,40,2
C14,10,41,2
C15,10,42,2
C16,10,49,2
C17,10,25,3
C18,10,27,3
C19,10,32,3
C20,10,35,3
C21,10,40,3
C22,10,41,3
C23,10,42,3
C24,10,49,3
D1,100,25,1
D2,100,27,1
D3,100,32,1
D4,100,35,1
D5,100,40,1
D6,100,41,1
D7,100,42,1
D8,100,49,1
D9,100,25,2
D10,100,27,2
D11,100,32,2
D12,100,35,2
D13,100,40,2
D14,100,41,2
D15,100,42,2
D16,100,49,2
D17,100,25,3
D18,100,27,3
D19,100,32,3
D20,100,35,3
D21,100,40,3
D22,100,41,3
D23,100,42,3
D24,100,49,3
E1,0,50,1
E2,0,26,1
E3,0,28,1
E4,0,29,1
E5,0,30,1
E6,0,31,1
E7,0,33,1
E8,0,34,1
E9,0,50,2
E10,0,26,2
E11,0,28,2
E12,0,29,2
E13,0,30,2
E14,0,31,2
E15,0,33,2
E16,0,34,2
E17,0,50,3
E18,0,26,3
E19,0,28,3
E20,0,29,3
E21,0,30,3
E22,0,31,3
E23,0,33,3
E24,0,34,3
F1,1,50,1
F2,1,26,1
F3,1,28,1
F4,1,29,1
F5,1,30,1
F6,1,31,1
F7,1,33,1
F8,1,34,1
F9,1,50,2
F10,1,26,2
