Well,Condition,species,replicate
A1,-Ni/-E,25,1
A2,-Ni/-E,27,1
A3,-Ni/-E,32,1
A4,-Ni/-E,35,1
A5,-Ni/-E,40,1
A6,-Ni/-E,41,1
A7,-Ni/-E,42,1
A8,-Ni/-E,49,1
A9,-Ni/-E,25,2
A10,-Ni/-E,27,2
A11,-Ni/-E,32,2
A12,-Ni/-E,35,2
A13,-Ni/-E,40,2
A14,-Ni/-E,41,2
A15,-Ni/-E,42,2
A16,-Ni/-E,49,2
A17,-Ni/-E,25,3
A18,-Ni/-E,27,3
A19,-Ni/-E,32,3
A20,-Ni/-E,35,3
A21,-Ni/-E,40,3
A22,-Ni/-E,41,3
A23,-Ni/-E,42,3
A24,-Ni/-E,49,3
B1,-Ni/+E,25,1
B2,-Ni/+E,27,1
B3,-Ni/+E,32,1
B4,-Ni/+E,35,1
B5,-Ni/+E,40,1
B6,-Ni/+E,41,1
B7,-Ni/+E,42,1
B8,-Ni/+E,49,1
B9,-Ni/+E,25,2
B10,-Ni/+E,27,2
B11,-Ni/+E,32,2
B12,-Ni/+E,35,2
B13,-Ni/+E,40,2
B14,-Ni/+E,41,2
B15,-Ni/+E,42,2
B16,-Ni/+E,49,2
B17,-Ni/+E,25,3
B18,-Ni/+E,27,3
B19,-Ni/+E,32,3
B20,-Ni/+E,35,3
B21,-Ni/+E,40,3
B22,-Ni/+E,41,3
B23,-Ni/+E,42,3
B24,-Ni/+E,49,3
C1,+Ni/-E,25,1
C2,+Ni/-E,27,1
C3,+Ni/-E,32,1
C4,+Ni/-E,35,1
C5,+Ni/-E,40,1
C6,+Ni/-E,41,1
C7,+Ni/-E,42,1
C8,+Ni/-E,49,1
C9,+Ni/-E,25,2
C10,+Ni/-E,27,2
C11,+Ni/-E,32,2
C12,+Ni/-E,35,2
C13,+Ni/-E,40,2
C14,+Ni/-E,41,2
C15,+Ni/-E,42,2
C16,+Ni/-E,49,2
C17,+Ni/-E,25,3
C18,+Ni/-E,27,3
C19,+Ni/-E,32,3
C20,+Ni/-E,35,3
C21,+Ni/-E,40,3
C22,+Ni/-E,41,3
C23,+Ni/-E,42,3
C24,+Ni/-E,49,3
D1,+Ni/+E,25,1
D2,+Ni/+E,27,1
D3,+Ni/+E,32,1
D4,+Ni/+E,35,1
D5,+Ni/+E,40,1
D6,+Ni/+E,41,1
D7,+Ni/+E,42,1
D8,+Ni/+E,49,1
D9,+Ni/+E,25,2
D10,+Ni/+E,27,2
D11,+Ni/+E,32,2
D12,+Ni/+E,35,2
D13,+Ni/+E,40,2
D14,+Ni/+E,41,2
D15,+Ni/+E,42,2
D16,+Ni/+E,49,2
D17,+Ni/+E,25,3
D18,+Ni/+E,27,3
D19,+Ni/+E,32,3
D20,+Ni/+E,35,3
D21,+Ni/+E,40,3
D22,+Ni/+E,41,3
D23,+Ni/+E,42,3
D24,+Ni/+E,49,3
E1,-Ni/-E,50,1
E2,-Ni/-E,26,1
E3,-Ni/-E,28,1
E4,-Ni/-E,29,1
E5,-Ni/-E,30,1
E6,-Ni/-E,31,1
E7,-Ni/-E,33,1
E8,-Ni/-E,34,1
E9,-Ni/-E,50,2
E10,-Ni/-E,26,2
E11,-Ni/-E,28,2
E12,-Ni/-E,29,2
E13,-Ni/-E,30,2
E14,-Ni/-E,31,2
E15,-Ni/-E,33,2
E16,-Ni/-E,34,2
E17,-Ni/-E,50,3
E18,-Ni/-E,26,3
E19,-Ni/-E,28,3
E20,-Ni/-E,29,3
E21,-Ni/-E,30,3
E22,-Ni/-E,31,3
E23,-Ni/-E,33,3
E24,-Ni/-E,34,3
F1,-Ni/+E,50,1
F2,-Ni/+E,26,1
F3,-Ni/+E,28,1
F4,-Ni/+E,29,1
F5,-Ni/+E,30,1
F6,-Ni/+E,31,1
F7,-Ni/+E,33,1
F8,-Ni/+E,34,1
F9,-Ni/+E,50,2
F10,-Ni/+E,26,2
F11,-Ni/+E,28,2
F12,-Ni/+E,29,2
F13,-Ni/+E,30,2
F14,-Ni/+E,31,2
F15,-Ni/+E,33,2
F16,-Ni/+E,34,2
F17,-Ni/+E,50,3
F18,-Ni/+E,26,3
F19,-Ni/+E,28,3
F20,-Ni/+E,29,3
F21,-Ni/+E,30,3
F22,-Ni/+E,31,3
F23,-Ni/+E,33,3
F24,-Ni/+E,34,3
G1,+Ni/-E,50,1
G2,+Ni/-E,26,1
G3,+Ni/-E,28,1
G4,+Ni/-E,29,1
G5,+Ni/-E,30,1
G6,+Ni/-E,31,1
G7,+Ni/-E,33,1
G8,+Ni/-E,34,1
G9,+Ni/-E,50,2
G10,+Ni/-E,26,2
G11,+Ni/-E,28,2
G12,+Ni/-E,29,2
G13,+Ni/-E,30,2
G14,+Ni/-E,31,2
G15,+Ni/-E,33,2
G16,+Ni/-E,34,2
G17,+Ni/-E,50,3
G18,+Ni/-E,26,3
G19,+Ni/-E,28,3
G20,+Ni/-E,29,3
G21,+Ni/-E,30,3
G22,+Ni/-E,31,3
G23,+Ni/-E,33,3
G24,+Ni/-E,34,3
H1,+Ni/+E,50,1
H2,+Ni/+E,26,1
H3,+Ni/+E,28,1
H4,+Ni/+E,29,1
H5,+Ni/+E,30,1
H6,+Ni/+E,31,1
H7,+Ni/+E,33,1
H8,+Ni/+E,34,1
H9,+Ni/+E,50,2
H10,+Ni/+E,26,2
H11,+Ni/+E,28,2
H12,+Ni/+E,29,2
H13,+Ni/+E,30,2
H14,+Ni/+E,31,2
H15,+Ni/+E,33,2
H16,+Ni/+E,34,2
H17,+Ni/+E,50,3
H18,+Ni/+E,26,3
H19,+Ni/+E,28,3
H20,+Ni/+E,29,3
H21,+Ni/+E,30,3
H22,+Ni/+E,31,3
H23,+Ni/+E,33,3
H24,+Ni/+E,34,3
I1,-Ni/-E,36,1
I2,-Ni/-E,37,1
I3,-Ni/-E,38,1
I4,-Ni/-E,39,1
I5,-Ni/-E,43,1
I6,-Ni/-E,44,1
I7,-Ni/-E,45,1
I8,-Ni/-E,46,1
I9,-Ni/-E,36,2
I10,-Ni/-E,37,2
I11,-Ni/-E,38,2
I12,-Ni/-E,39,2
I13,-Ni/-E,43,2
I14,-Ni/-E,44,2
I15,-Ni/-E,45,2
I16,-Ni/-E,46,2
I17,-Ni/-E,36,3
I18,-Ni/-E,37,3
I19,-Ni/-E,38,3
I20,-Ni/-E,39,3
I21,-Ni/-E,43,3
I22,-Ni/-E,44,3
I23,-Ni/-E,45,3
I24,-Ni/-E,46,3
J1,-Ni/+E,36,1
J2,-Ni/+E,37,1
J3,-Ni/+E,38,1
J4,-Ni/+E,39,1
J5,-Ni/+E,43,1
J6,-Ni/+E,44,1
